code,product_name,shop_category_db,coverage_category,substance,family_slug,research_slug,variant,lexicon_profile_required,mapping_unique,status,reason
10AD,AOD9604,PEPTIDES,PEPTIDES,AOD9604,aod-9604,aod-9604,10mg/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
10AM,5-amino-1mq,PEPTIDES,ORALS,5-amino-1mq,5-amino-1mq,,10mg/vial x 10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
1T100,DHB (1-Test Cyp),INJECTABLES-OILS,OILS / INJECTABLES,DHB (1-Test Cyp),dhb-1-test-cyp,,100mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
1TT10,DHB (1-Test Cyp),ORALS,OILS / INJECTABLES,DHB (1-Test Cyp),dhb-1-test-cyp,,10mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
2AD,AOD9604,PEPTIDES,PEPTIDES,AOD9604,aod-9604,aod-9604,2mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
2S10,SS-31,PEPTIDES,PEPTIDES,SS-31,ss-31,,10mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
2S50,SS-31,PEPTIDES,PEPTIDES,SS-31,ss-31,,50mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
325,T3,ORALS,ORALS,T3,t3,,25mcg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
340,T3,ORALS,ORALS,T3,t3,,40mcg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
375,LL37,PEPTIDES,PEPTIDES,LL37,ll37,,5mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
3R225,TriTren 225mg,INJECTABLES-OILS,BLENDS,TriTren 225mg,tritren-225,,225mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
